Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
N_Register,Chrome 114.0.0.0,,,2023-06-14 16:38:11,2023-06-14 16:39:18,1m - 7.046s,PASSED
,,,,,,,
Test Cases/Adrian Ramdo Firmansyah/Negative Test Case/WEB/WEBTCR_N_005_Registrasi,Chrome 114.0.0.0,"Mengosongkan field ""Tanggal Lahir"", dan field lain diinput sesuai requirements",,2023-06-14 16:38:11,2023-06-14 16:38:27,15.632s,PASSED
"openBrowser(""https://demo-app.online/"")",Chrome 114.0.0.0,,,2023-06-14 16:38:12,2023-06-14 16:38:19,6.891s,PASSED
"click(findTestObject(""Adrian Ramdo Firmansyah/Website/Main_Page/button_Buat Akun""))",Chrome 114.0.0.0,,,2023-06-14 16:38:19,2023-06-14 16:38:20,1.101s,PASSED
"setText(findTestObject(""Adrian Ramdo Firmansyah/Website/Page_Buat_Akun/Field_nama""), ""Abdul Budi"")",Chrome 114.0.0.0,,,2023-06-14 16:38:20,2023-06-14 16:38:21,1.102s,PASSED
"setText(findTestObject(""Adrian Ramdo Firmansyah/Website/Page_Buat_Akun/Field_Email""), ""testcdid123@gmail.com"")",Chrome 114.0.0.0,,,2023-06-14 16:38:21,2023-06-14 16:38:22,0.779s,PASSED
"setText(findTestObject(""Adrian Ramdo Firmansyah/Website/Page_Buat_Akun/Field_Whatsapp""), ""089637557848"")",Chrome 114.0.0.0,,,2023-06-14 16:38:22,2023-06-14 16:38:22,0.755s,PASSED
"setEncryptedText(findTestObject(""Adrian Ramdo Firmansyah/Website/Page_Buat_Akun/Field_Password""), ""/1ZObZjf6SXVzGwZ9Vhvcg=="")",Chrome 114.0.0.0,,,2023-06-14 16:38:22,2023-06-14 16:38:23,0.609s,PASSED
"setEncryptedText(findTestObject(""Adrian Ramdo Firmansyah/Website/Page_Buat_Akun/Field_Konfirmasi_Password""), ""/1ZObZjf6SXVzGwZ9Vhvcg=="")",Chrome 114.0.0.0,,,2023-06-14 16:38:23,2023-06-14 16:38:23,0.528s,PASSED
"click(findTestObject(""Adrian Ramdo Firmansyah/Website/Page_Buat_Akun/Checkbox_Persetujuan""))",Chrome 114.0.0.0,,,2023-06-14 16:38:23,2023-06-14 16:38:24,0.582s,PASSED
